2.06804,678,1356,85457,139330,26856,26535,34.57,490,0,800,0
1.63512,549,1098,71316,116608,26255,26055,33.8188,438,5,800,0
1.76286,586,1173,78028,127670,26968,26731,34.71,466,10,800,0
1.85953,620,1240,81437,133397,27381,27116,35.2263,462,15,800,0
2.00427,671,1342,84526,138620,26991,26708,34.7388,478,20,800,0
2.46809,758,1516,91068,149292,25111,24751,32.3888,507,25,800,0
2.21706,719,1438,79264,129843,23962,23564,30.9525,528,30,800,0
2.26876,744,1488,81034,132643,22776,22396,29.47,543,35,800,0
2.25428,737,1475,76541,125198,21877,21464,28.3463,533,40,800,0
2.38196,737,1474,78240,127930,22052,21640,28.565,490,45,800,0
2.18766,708,1416,77029,125832,22486,22112,29.1075,488,50,800,0
2.41318,769,1539,81930,133515,22797,22399,29.4962,496,55,800,0
2.47136,767,1534,83686,136600,23140,22751,29.925,532,60,800,0
2.06089,693,1386,74015,120713,23439,23075,30.2987,521,65,800,0
2.24259,709,1419,81063,132274,23648,23275,30.56,490,70,800,0
2.00006,665,1330,72972,119029,22988,22640,29.735,497,75,800,0
2.20689,715,1430,80596,131730,23628,23247,30.535,503,80,800,0
2.26762,708,1416,81252,132635,23569,23177,30.4612,485,85,800,0
2.34383,728,1456,83117,135863,23774,23386,30.7175,462,90,800,0
2.11426,683,1366,79044,129265,23722,23359,30.6525,478,95,800,0
2.0198,662,1325,73640,120309,23663,23303,30.5787,485,100,800,0
2.08785,683,1367,74671,122046,23736,23383,30.67,484,105,800,0
2.19576,713,1427,75834,123835,23370,22994,30.2125,497,110,800,0
2.05807,673,1346,70611,115306,22554,22210,29.1925,506,115,800,0
2.12588,695,1390,71853,117318,22623,22254,29.2787,467,120,800,0
2.28731,744,1489,79950,130553,22911,22487,29.6388,503,125,800,0
2.16156,692,1385,78131,127532,23357,22991,30.1962,521,130,800,0
2.18797,706,1413,80121,130889,23697,23334,30.6212,543,135,800,0
2.16744,695,1391,75267,122907,23188,22809,29.985,499,140,800,0
1.90514,620,1240,69186,113070,23371,23085,30.2138,481,145,800,0
1.9248,618,1236,69597,113851,23468,23189,30.335,476,150,800,0
2.00115,672,1344,74417,121735,23415,23135,30.2688,486,155,800,0
1.9793,668,1336,72767,119003,23163,22864,29.9537,499,160,800,0
2.06738,685,1370,72681,118873,22711,22368,29.3888,511,165,800,0
2.0639,679,1358,71997,117592,22766,22421,29.4575,495,170,800,0
2.10502,690,1381,75452,123211,23556,23196,30.445,477,175,800,0
1.99423,663,1326,72067,117566,23609,23273,30.5113,507,180,800,0
2.02115,670,1341,72762,118925,23422,23093,30.2775,476,185,800,0
1.91929,632,1264,71152,116285,23458,23163,30.3225,487,190,800,0
2.00217,678,1356,85457,139330,26856,26535,34.57,490,0,800,0
1.62786,549,1098,71316,116608,26255,26055,33.8188,438,5,800,0
